0,.20,.30,.40,.50,.60,.70,.80,.90,1
0,1.12,1.2,1.35,1.6,1.8,2.22,2.7,3.3,4.12
0.2,1.12,1.2,1.35,1.6,1.8,2.22,2.7,3.3,4.12
0.4,1.11,1.2,1.35,1.6,1.8,2.22,2.7,3.3,4.12
0.6,1.1,1.2,1.35,1.6,1.8,2.22,2.7,3.3,4.12
0.8,1.09,1.18,1.34,1.6,1.8,2.22,2.7,3.3,4.12
1,1.05,1.16,1.3,1.6,1.8,2.22,2.7,3.3,4.12
1.2,1,1.15,1.29,1.6,1.8,2.22,2.7,3.3,4.12
1.4,1,1.12,1.27,1.55,1.8,2.22,2.7,3.3,4.12
1.6,1,1.08,1.24,1.5,1.8,2.22,2.7,3.3,4.12
1.8,1,1.06,1.2,1.48,1.78,2.22,2.7,3.3,4.12
2,1,1,1.18,1.45,1.75,2.22,2.7,3.3,4.12
2.2,1,1,1.15,1.4,1.73,2.22,2.7,3.3,4.12
2.4,1,1,1.1,1.35,1.72,2.2,2.7,3.3,4.12
2.6,1,1,1,1.25,1.7,2.19,2.7,3.3,4.12
2.8,1,1,1,1,1.65,2.17,2.7,3.3,4.12
3,1,1,1,1,1.55,2.15,2.69,3.3,4.12
3.2,1,1,1,1,1.32,2.1,2.68,3.3,4.12
3.4,1,1,1,1,1,2,2.65,3.3,4.12
3.6,1,1,1,1,1,1.7,2.6,3.29,4.12
3.8,1,1,1,1,1,1.5,2.55,3.27,4.12
4,1,1,1,1,1,1.3,2.5,3.26,4.12
4.2,1,1,1,1,1,1,2.25,3.25,4.12
4.4,1,1,1,1,1,1,1.9,3.15,4.1
4.6,1,1,1,1,1,1,1.35,3.05,4.05
4.8,1,1,1,1,1,1,1,2.9,4.03
5,1,1,1,1,1,1,1,2.75,4.01
5.2,1,1,1,1,1,1,1,2.3,3.9
5.4,1,1,1,1,1,1,1,1.6,3.8
5.6,1,1,1,1,1,1,1,1,3.5
5.8,1,1,1,1,1,1,1,1,3
6,1,1,1,1,1,1,1,1,1
